N,P,K,ph,crop
24.98,36.5,21.07,6.96,mungbean
18.58,51.2,16.2,6.83,mungbean
13.63,54.18,19.28,7.0,mungbean
13.33,54.45,21.8,7.05,mungbean
15.96,48.79,15.97,6.42,mungbean
15.75,47.23,17.2,6.05,mungbean
20.38,53.64,18.61,6.49,mungbean
16.24,55.41,14.28,7.06,mungbean
18.19,52.67,18.31,6.48,mungbean
17.9,42.29,20.48,6.42,mungbean
19.24,48.01,18.4,5.97,mungbean
26.29,49.2,18.91,7.4,mungbean
23.65,37.95,19.92,7.03,mungbean
21.06,49.35,17.38,7.01,mungbean
19.16,58.36,22.76,7.09,mungbean
19.27,50.2,25.74,6.93,mungbean
22.31,54.37,18.14,6.6,mungbean
23.34,47.91,21.94,6.63,mungbean
17.37,46.63,19.04,6.53,mungbean
21.15,48.91,21.46,7.75,mungbean
12.87,42.92,26.26,6.92,mungbean
21.85,42.18,22.03,6.51,mungbean
24.05,53.33,12.91,6.89,mungbean
19.88,53.86,21.82,6.3,mungbean
28.27,42.04,24.93,7.3,mungbean
17.48,51.84,19.11,6.44,mungbean
21.87,46.57,23.98,6.9,mungbean
20.86,48.7,17.24,7.13,mungbean
20.6,49.3,14.06,6.85,mungbean
20.54,51.97,20.56,6.74,mungbean
21.43,47.41,12.97,6.7,mungbean
24.39,54.05,19.04,6.68,mungbean
26.51,48.55,25.15,6.47,mungbean
20.99,50.12,12.36,6.52,mungbean
24.26,42.83,14.88,7.29,mungbean
18.19,57.79,15.87,6.66,mungbean
24.06,49.35,19.75,6.39,mungbean
17.95,50.56,18.54,6.49,mungbean
25.36,38.96,25.6,7.14,mungbean
29.84,42.89,23.82,6.97,mungbean
20.51,53.19,21.98,6.92,mungbean
12.23,48.43,20.58,6.6,mungbean
18.81,37.43,21.57,6.93,mungbean
25.93,52.19,16.55,6.44,mungbean
38.7,64.2,24.0,6.69,blackgram
44.85,59.97,21.75,6.89,blackgram
44.37,72.11,26.86,7.41,blackgram
35.09,64.31,12.81,7.52,blackgram
35.72,64.96,17.94,7.07,blackgram
40.54,67.21,17.15,7.12,blackgram
48.63,72.71,11.11,7.4,blackgram
30.42,67.1,23.24,7.15,blackgram
41.39,61.0,17.92,6.58,blackgram
33.12,69.72,21.96,6.77,blackgram
36.83,64.58,28.44,7.19,blackgram
38.18,76.44,17.59,7.59,blackgram
37.9,66.99,17.32,7.75,blackgram
37.33,55.82,19.47,7.41,blackgram
40.04,68.79,22.95,7.21,blackgram
37.32,76.72,16.73,7.4,blackgram
32.69,74.88,16.48,6.83,blackgram
43.9,76.15,23.23,7.04,blackgram
43.76,61.9,20.51,6.77,blackgram
44.22,71.56,10.82,6.6,blackgram
32.3,63.39,14.1,7.23,blackgram
41.49,68.12,25.0,7.17,blackgram
43.38,60.64,20.61,7.38,blackgram
34.84,63.78,15.95,7.32,blackgram
40.05,63.62,18.32,7.2,blackgram
39.42,71.49,19.05,7.32,blackgram
49.21,71.0,21.94,7.08,blackgram
49.62,68.38,13.57,7.27,blackgram
31.68,60.25,15.64,6.81,blackgram
52.47,65.44,20.09,7.25,blackgram
35.42,63.27,18.6,7.37,blackgram
44.9,71.35,21.29,6.83,blackgram
44.85,72.89,14.08,7.12,blackgram
35.02,72.28,20.43,6.85,blackgram
42.47,63.22,23.37,6.89,blackgram
39.46,53.3,20.95,6.65,blackgram
42.77,58.17,19.56,7.61,blackgram
41.15,74.11,18.62,7.53,blackgram
45.98,64.99,15.66,7.31,blackgram
40.38,63.25,18.71,7.89,blackgram
39.16,75.21,24.04,7.02,blackgram
45.48,73.33,18.52,8.31,blackgram
42.9,67.12,15.44,7.01,blackgram
43.66,65.53,17.03,7.2,blackgram
36.68,66.34,19.8,6.94,blackgram
34.77,68.14,17.51,7.25,blackgram
37.16,75.0,20.94,7.43,blackgram
36.9,69.11,21.09,7.05,blackgram
43.93,70.63,22.56,7.81,blackgram
44.88,72.85,24.69,7.2,blackgram
39.22,61.15,22.98,7.21,blackgram
47.15,70.77,15.26,6.74,blackgram
46.84,65.53,15.39,7.27,blackgram
41.22,54.42,18.7,7.05,blackgram
35.89,56.36,17.2,6.86,blackgram
47.88,61.91,14.45,6.79,blackgram
39.69,69.66,17.23,8.17,blackgram
40.63,67.57,17.1,6.99,blackgram
38.3,67.92,16.31,6.52,blackgram
35.55,76.75,17.74,6.82,blackgram
32.66,60.65,23.71,7.08,blackgram
43.16,66.86,19.8,7.32,blackgram
36.08,68.52,28.89,7.32,blackgram
55.3,63.32,19.68,7.37,blackgram
34.57,67.14,17.84,6.84,blackgram
33.71,59.0,19.02,7.24,blackgram
42.55,74.05,20.03,6.75,blackgram
47.65,63.59,20.74,6.85,blackgram
40.32,77.16,27.31,6.73,blackgram
42.86,66.84,15.62,6.62,blackgram
30.78,72.14,22.44,7.53,blackgram
36.61,66.73,19.83,7.38,blackgram
34.63,66.85,12.72,7.49,blackgram
30.52,64.08,22.08,7.12,blackgram
40.58,67.6,24.07,7.41,blackgram
28.79,68.59,15.57,6.4,blackgram
33.39,63.08,18.96,7.45,blackgram
37.31,66.37,12.1,7.17,blackgram
35.84,63.95,13.96,7.35,blackgram
41.98,78.5,23.19,7.25,blackgram
41.53,66.55,17.13,6.71,blackgram
44.47,74.73,14.56,6.5,blackgram
43.76,66.02,19.92,6.82,blackgram
45.7,68.3,16.91,7.33,blackgram
39.99,60.39,17.12,7.38,blackgram
41.52,64.76,21.96,6.55,blackgram
42.56,68.05,14.35,6.71,blackgram
40.71,74.93,15.38,6.81,blackgram
38.01,68.11,19.62,6.96,blackgram
38.34,73.92,22.88,6.56,blackgram
35.91,70.2,23.95,6.53,blackgram
42.11,75.14,16.34,6.77,blackgram
39.53,66.7,22.75,7.13,blackgram
36.68,78.95,15.86,6.63,blackgram
36.69,64.57,26.3,7.05,blackgram
33.95,63.17,14.46,7.52,blackgram
44.89,60.95,24.31,6.58,blackgram
40.39,78.66,16.37,7.02,blackgram
35.69,71.1,27.05,7.51,blackgram
44.04,65.33,21.37,6.93,blackgram
16.71,69.75,20.6,6.7,lentil
23.65,77.31,22.3,7.33,lentil
17.78,71.7,16.15,7.05,lentil
23.42,71.88,23.21,6.32,lentil
20.72,82.44,12.94,6.86,lentil
17.63,69.58,14.01,7.46,lentil
20.92,69.42,21.84,6.73,lentil
20.28,70.52,25.68,6.98,lentil
23.08,61.96,20.97,7.02,lentil
16.81,64.78,18.84,6.39,lentil
19.16,64.47,10.22,7.0,lentil
18.75,70.24,10.91,6.24,lentil
21.82,66.13,19.52,6.55,lentil
14.9,67.69,17.57,7.23,lentil
23.07,72.44,14.58,6.94,lentil
20.87,71.32,19.26,6.68,lentil
13.73,66.19,19.46,6.98,lentil
23.83,63.65,22.78,6.78,lentil
27.94,72.68,19.55,6.81,lentil
23.01,70.87,23.91,7.06,lentil
24.71,58.97,19.03,6.51,lentil
19.34,65.43,18.54,6.82,lentil
12.35,67.83,23.26,6.68,lentil
11.62,70.89,15.09,6.17,lentil
20.02,71.55,30.26,6.43,lentil
16.63,68.42,20.5,7.43,lentil
15.34,69.93,20.52,6.95,lentil
18.75,67.32,21.1,6.27,lentil
21.46,63.63,26.51,6.18,lentil
13.19,65.69,22.17,6.76,lentil
17.2,67.09,12.58,7.42,lentil
25.04,66.83,24.61,6.73,lentil
14.7,57.57,17.64,7.32,lentil
22.48,65.01,19.43,6.94,lentil
17.06,67.28,13.88,6.99,lentil
21.18,65.59,21.1,6.27,lentil
23.39,65.77,16.39,7.18,lentil
21.97,69.44,19.4,6.67,lentil
22.64,61.61,17.86,7.15,lentil
14.39,58.86,26.7,6.47,lentil
23.45,65.26,26.93,6.87,lentil
15.59,70.82,19.19,6.94,lentil
20.04,75.44,19.26,6.74,lentil
20.03,70.91,17.51,6.96,lentil
20.94,59.66,23.42,6.69,lentil
20.35,65.84,17.68,6.54,lentil
15.62,68.28,17.31,7.44,lentil
13.6,67.89,22.91,7.22,lentil
22.49,69.7,16.85,6.5,lentil
19.74,62.41,18.85,7.03,lentil
23.6,67.32,12.67,6.5,lentil
18.82,69.1,21.82,6.33,lentil
13.38,71.13,26.76,7.21,lentil
22.86,62.97,21.88,6.12,lentil
17.52,65.27,24.85,7.17,lentil
20.37,53.48,15.62,6.7,lentil
16.41,63.89,19.95,6.72,lentil
25.58,64.38,15.23,6.96,lentil
15.49,61.9,18.09,7.03,lentil
17.65,67.83,22.09,6.47,lentil
19.43,66.72,19.41,7.09,lentil
14.63,55.7,13.35,6.85,lentil
20.32,68.08,13.74,6.3,lentil
25.45,62.36,13.48,6.73,lentil
17.04,69.43,20.97,7.35,lentil
20.58,60.59,27.26,7.47,lentil
8.0,67.15,24.45,7.09,lentil
18.84,65.58,11.42,6.32,lentil
17.75,68.52,24.68,7.0,lentil
15.73,67.62,22.75,7.14,lentil
23.33,65.72,12.82,7.09,lentil
17.7,59.32,17.79,7.11,lentil
18.29,59.61,23.38,6.95,lentil
17.49,64.08,21.2,6.77,lentil
11.33,66.96,13.76,6.56,lentil
14.47,63.96,21.44,6.04,lentil
22.84,70.13,10.45,6.94,lentil
10.56,65.6,18.11,6.87,lentil
15.93,62.17,23.55,7.02,lentil
17.4,65.61,19.07,6.26,lentil
25.97,68.13,17.0,7.06,lentil
22.07,68.62,22.56,7.62,lentil
16.77,76.39,22.9,6.83,lentil
24.22,63.66,24.24,6.78,lentil
16.04,66.63,22.5,6.92,lentil
23.04,69.13,23.33,7.61,lentil
13.56,66.88,21.93,6.39,lentil
23.29,64.5,20.06,6.88,lentil
17.38,59.25,19.36,6.48,lentil
14.89,64.45,18.05,6.58,lentil
18.13,61.63,14.15,6.78,lentil
20.11,58.37,15.18,7.34,lentil
17.02,63.02,17.87,7.52,lentil
21.22,61.76,19.97,6.98,lentil
16.67,69.92,24.76,6.65,lentil
21.48,70.01,18.83,7.8,lentil
20.77,62.48,23.01,6.63,lentil
18.76,65.7,23.32,6.57,lentil
17.23,57.71,18.07,6.09,lentil
19.61,64.53,21.38,7.36,lentil
21.87,17.8,38.4,6.72,pomegranate
27.67,14.43,36.26,6.73,pomegranate
12.44,15.04,38.9,5.64,pomegranate
23.83,14.88,41.51,6.28,pomegranate
18.28,20.09,44.91,5.59,pomegranate
21.22,17.07,26.87,7.62,pomegranate
11.41,17.29,35.84,5.6,pomegranate
23.87,20.39,40.8,5.88,pomegranate
21.15,17.43,39.51,5.88,pomegranate
17.84,16.89,42.02,5.65,pomegranate
20.58,19.88,41.34,7.08,pomegranate
14.94,20.67,38.48,7.61,pomegranate
15.68,17.41,37.37,6.16,pomegranate
16.15,18.32,38.77,5.74,pomegranate
10.59,14.87,45.74,5.28,pomegranate
21.45,14.56,36.34,6.28,pomegranate
22.77,21.08,39.69,6.24,pomegranate
15.19,19.78,40.92,6.07,pomegranate
19.39,19.82,47.8,6.51,pomegranate
16.94,19.12,38.5,6.6,pomegranate
19.31,18.18,44.79,6.56,pomegranate
15.49,20.79,46.16,6.24,pomegranate
14.47,21.74,39.68,5.85,pomegranate
22.21,21.64,38.95,6.73,pomegranate
17.74,17.6,38.35,6.41,pomegranate
26.09,23.55,38.72,6.84,pomegranate
18.19,18.91,44.27,6.8,pomegranate
14.3,20.53,41.16,5.69,pomegranate
22.91,19.13,41.18,5.68,pomegranate
20.52,18.99,34.37,6.02,pomegranate
20.91,15.06,35.16,5.87,pomegranate
22.76,20.81,50.72,6.78,pomegranate
15.39,29.38,39.11,6.58,pomegranate
17.49,16.5,36.13,6.95,pomegranate
17.31,18.28,47.16,6.6,pomegranate
12.84,16.22,41.41,6.5,pomegranate
16.95,16.05,42.89,7.0,pomegranate
23.35,24.18,39.31,6.63,pomegranate
18.95,15.31,38.41,6.43,pomegranate
12.62,16.1,39.15,7.14,pomegranate
11.78,11.65,33.09,6.46,pomegranate
24.66,14.97,39.56,6.25,pomegranate
17.64,11.17,41.48,5.98,pomegranate
15.41,20.53,49.25,6.75,pomegranate
16.9,29.2,40.43,7.02,pomegranate
12.09,16.53,28.33,6.37,pomegranate
23.69,11.33,39.53,7.05,pomegranate
16.43,21.6,53.7,5.41,pomegranate
23.47,15.09,44.33,6.37,pomegranate
18.21,23.2,35.95,6.38,pomegranate
23.72,16.87,42.96,6.04,pomegranate
19.03,15.47,36.29,7.59,pomegranate
21.41,17.29,33.23,6.37,pomegranate
20.88,21.03,38.26,6.2,pomegranate
20.49,17.09,40.46,6.41,pomegranate
19.39,16.01,30.64,5.4,pomegranate
17.07,17.2,34.25,6.02,pomegranate
25.66,12.91,40.05,6.89,pomegranate
14.37,19.59,37.96,6.09,pomegranate
18.02,10.85,41.97,5.99,pomegranate
18.06,16.22,33.93,7.05,pomegranate
19.61,21.04,43.57,7.07,pomegranate
16.28,19.21,34.08,6.66,pomegranate
19.26,20.36,48.21,6.17,pomegranate
17.32,17.74,31.42,6.28,pomegranate
11.67,22.68,34.54,6.0,pomegranate
18.04,21.7,42.09,5.9,pomegranate
13.6,19.78,48.32,5.88,pomegranate
11.06,21.71,41.58,6.09,pomegranate
18.55,21.0,42.81,5.88,pomegranate
19.95,16.24,40.09,5.62,pomegranate
20.11,12.62,34.87,6.51,pomegranate
20.27,19.68,37.55,6.52,pomegranate
10.27,20.18,33.94,7.25,pomegranate
12.56,22.36,33.61,6.07,pomegranate
25.89,14.25,42.01,6.55,pomegranate
13.81,14.37,34.38,6.56,pomegranate
20.44,19.84,41.6,6.27,pomegranate
15.25,17.72,33.49,6.77,pomegranate
18.32,10.46,41.48,6.79,pomegranate
15.47,19.5,37.56,6.56,pomegranate
20.25,10.59,47.03,6.27,pomegranate
18.55,14.22,41.62,6.22,pomegranate
16.21,23.41,46.18,5.72,pomegranate
13.8,25.3,36.22,6.0,pomegranate
19.07,13.14,40.28,6.09,pomegranate
13.15,16.68,35.09,5.84,pomegranate
19.71,18.17,37.93,6.62,pomegranate
28.51,25.12,38.69,7.0,pomegranate
23.4,16.03,36.37,5.95,pomegranate
20.87,16.09,33.92,6.54,pomegranate
17.66,24.19,32.93,5.88,pomegranate
10.24,16.5,28.3,6.25,pomegranate
12.71,20.89,34.72,6.05,pomegranate
23.13,12.09,43.14,6.7,pomegranate
14.84,17.32,32.01,6.06,pomegranate
15.2,11.36,33.16,6.91,pomegranate
17.34,13.78,48.95,6.28,pomegranate
13.75,21.36,36.82,6.08,pomegranate
13.09,17.8,41.61,5.77,pomegranate
101.52,84.82,45.95,5.68,banana
105.37,82.85,40.05,6.45,banana
101.64,78.11,52.7,5.54,banana
113.43,91.25,60.6,5.6,banana
108.58,80.24,56.95,5.91,banana
98.15,85.88,48.71,5.9,banana
98.09,69.91,50.04,6.03,banana
102.82,88.38,54.44,6.95,banana
94.97,89.34,55.61,6.07,banana
107.0,82.15,48.28,4.71,banana
102.17,84.79,50.17,6.06,banana
101.54,84.79,51.5,5.92,banana
104.12,78.79,52.77,5.92,banana
110.34,84.74,49.33,6.02,banana
101.03,77.96,49.4,5.89,banana
99.32,78.96,56.9,5.87,banana
109.05,87.63,56.05,6.21,banana
105.81,86.87,52.39,5.63,banana
98.07,78.47,58.6,5.43,banana
100.03,78.33,48.07,7.41,banana
101.17,78.77,58.11,5.54,banana
102.17,85.66,52.71,5.95,banana
91.86,77.0,66.36,5.15,banana
90.75,83.78,44.04,5.96,banana
94.68,85.73,46.55,5.43,banana
94.21,81.56,52.09,5.68,banana
96.14,87.05,51.99,6.42,banana
103.81,80.48,59.75,6.14,banana
98.99,80.93,46.66,6.18,banana
101.18,77.11,54.52,5.01,banana
92.65,87.09,55.81,6.82,banana
97.23,78.17,53.52,5.3,banana
103.52,83.75,45.2,6.66,banana
103.57,81.64,57.04,6.41,banana
95.65,76.74,56.15,6.19,banana
100.97,78.95,53.0,5.47,banana
113.19,88.91,51.02,5.98,banana
99.89,83.01,51.13,5.66,banana
95.84,76.95,49.61,5.91,banana
98.96,83.53,53.2,5.78,banana
100.55,81.27,50.16,4.88,banana
99.09,99.27,45.76,6.46,banana
99.81,83.43,44.76,5.86,banana
91.34,80.1,46.24,5.66,banana
94.22,89.1,51.11,5.62,banana
99.1,72.79,49.87,6.08,banana
99.01,82.47,51.08,5.45,banana
96.6,91.97,52.5,4.77,banana
98.94,81.42,46.86,6.1,banana
100.37,73.33,57.33,6.16,banana
105.34,80.02,48.66,5.8,banana
99.4,89.27,47.83,5.33,banana
102.39,83.88,52.41,5.94,banana
96.75,77.81,40.82,5.17,banana
103.43,78.57,46.05,5.39,banana
102.25,79.2,54.91,5.52,banana
105.19,83.81,41.31,6.32,banana
104.28,88.69,55.59,5.72,banana
103.53,87.26,57.56,5.68,banana
99.41,84.28,48.15,6.88,banana
101.47,75.34,51.46,6.08,banana
106.38,75.36,55.6,6.07,banana
96.09,84.67,47.67,5.72,banana
96.23,75.27,54.34,5.6,banana
101.09,80.87,46.64,4.81,banana
102.49,83.52,47.61,6.38,banana
95.06,76.31,46.0,6.12,banana
99.55,76.88,51.71,5.81,banana
99.44,81.53,55.79,5.83,banana
86.71,84.52,49.08,6.27,banana
98.68,87.31,43.64,5.12,banana
99.06,85.04,44.59,5.61,banana
99.04,82.37,51.97,5.33,banana
108.5,78.27,59.22,6.79,banana
92.71,76.65,51.97,6.34,banana
95.05,79.45,48.07,4.8,banana
84.33,84.05,53.83,5.14,banana
97.11,83.68,48.8,5.83,banana
97.63,71.5,48.11,5.66,banana
96.94,78.07,45.21,5.24,banana
106.65,88.02,57.04,6.87,banana
105.16,82.4,37.3,6.06,banana
100.47,74.91,53.99,6.14,banana
97.78,93.78,47.68,5.55,banana
106.16,81.86,47.95,6.26,banana
99.88,83.92,58.46,5.71,banana
95.09,84.0,46.43,5.76,banana
89.7,80.16,46.6,6.21,banana
97.35,78.36,49.35,5.09,banana
104.53,92.61,52.07,6.7,banana
113.66,87.02,47.79,5.99,banana
100.37,86.11,42.13,6.54,banana
95.41,84.88,45.67,5.36,banana
92.89,76.98,56.41,5.44,banana
103.31,88.39,50.37,5.32,banana
89.41,77.78,52.26,6.03,banana
103.3,83.42,48.69,5.93,banana
104.91,73.8,46.7,5.67,banana
102.62,71.8,58.39,5.39,banana
98.68,83.59,49.06,5.27,banana
19.81,21.05,32.97,6.2,mango
18.14,31.34,30.18,5.56,mango
17.26,21.77,29.78,4.89,mango
26.19,30.19,32.23,5.93,mango
19.67,24.2,29.54,6.16,mango
25.08,33.41,30.76,6.09,mango
17.87,30.0,25.77,6.01,mango
20.98,22.97,35.19,5.63,mango
19.78,23.33,25.44,5.4,mango
13.21,29.42,28.27,6.08,mango
25.71,25.95,30.39,6.01,mango
19.46,26.32,37.96,5.52,mango
22.99,32.09,28.31,6.35,mango
16.99,24.01,27.34,5.36,mango
19.34,27.37,27.8,5.51,mango
16.53,30.82,36.64,6.62,mango
24.94,30.24,18.75,6.23,mango
21.25,26.36,25.99,5.62,mango
21.47,25.84,40.93,5.94,mango
25.43,20.04,32.36,5.88,mango
24.63,22.78,25.58,4.43,mango
23.06,28.27,29.83,5.35,mango
14.31,26.45,30.27,5.77,mango
17.22,27.3,33.38,5.62,mango
15.98,31.16,37.36,5.92,mango
22.91,22.25,31.55,6.36,mango
20.68,26.06,27.84,5.64,mango
14.44,27.75,33.15,5.27,mango
19.25,24.18,27.21,5.96,mango
14.02,32.73,25.87,5.64,mango
19.79,30.63,22.96,5.72,mango
13.38,28.16,23.74,5.65,mango
22.12,34.18,26.41,6.92,mango
21.51,21.0,25.29,4.68,mango
27.63,26.97,31.25,5.61,mango
23.39,28.47,25.2,5.8,mango
18.31,23.34,17.43,5.41,mango
23.27,28.2,25.82,6.25,mango
14.41,22.57,28.11,6.21,mango
16.15,29.76,27.58,5.78,mango
21.33,31.23,36.08,5.66,mango
11.37,28.09,27.55,5.74,mango
19.85,19.59,33.52,5.75,mango
15.92,23.13,29.92,5.76,mango
20.41,29.26,29.83,5.71,mango
15.69,27.08,26.66,5.93,mango
21.7,16.22,29.76,6.18,mango
20.08,31.97,26.94,5.18,mango
25.6,27.55,30.68,5.27,mango
20.03,23.72,29.06,4.93,mango
16.93,30.98,26.22,6.23,mango
19.01,24.29,33.97,5.93,mango
14.62,24.25,31.71,6.05,mango
21.62,28.43,28.21,5.09,mango
22.36,34.12,30.58,6.69,mango
29.88,33.49,29.66,5.5,mango
17.51,28.44,26.53,5.88,mango
18.93,28.85,30.28,6.23,mango
17.7,30.17,27.52,5.31,mango
20.85,21.97,26.22,5.53,mango
21.53,29.58,23.51,5.89,mango
19.79,24.06,28.57,7.23,mango
24.35,28.27,32.27,5.95,mango
17.53,26.09,27.22,6.6,mango
23.94,29.0,40.08,6.4,mango
22.15,27.47,33.54,5.98,mango
19.95,14.71,35.22,5.31,mango
18.74,27.72,33.18,6.33,mango
29.71,29.57,37.41,5.05,mango
16.73,28.78,26.85,6.6,mango
21.19,26.59,19.76,5.9,mango
17.0,33.57,28.22,4.47,mango
27.14,28.25,32.23,5.63,mango
23.55,28.75,30.61,6.13,mango
17.29,31.18,31.1,5.68,mango
22.05,28.45,35.28,6.16,mango
21.03,23.41,31.53,5.37,mango
17.93,17.25,33.2,5.15,mango
23.03,25.09,26.24,5.76,mango
21.56,30.04,25.62,5.82,mango
20.86,25.59,36.46,5.63,mango
19.83,30.2,30.4,6.41,mango
21.72,27.59,27.51,5.37,mango
20.92,32.15,27.51,5.96,mango
20.24,25.82,27.4,5.83,mango
17.44,28.87,27.16,5.02,mango
26.78,29.02,24.87,5.14,mango
15.8,33.01,24.0,5.81,mango
21.71,20.17,29.22,6.79,mango
18.72,25.17,27.63,6.09,mango
27.04,30.39,34.43,4.94,mango
16.39,33.18,31.17,4.24,mango
17.06,27.96,31.06,6.17,mango
16.12,25.83,27.03,5.75,mango
21.29,30.03,29.52,6.37,mango
14.51,30.47,31.44,5.36,mango
18.09,25.56,32.86,5.98,mango
11.39,28.32,29.62,6.22,mango
20.96,31.72,34.32,5.58,mango
18.0,34.56,30.03,5.59,mango
23.1,119.51,198.45,5.56,grapes
25.17,132.42,198.2,6.8,grapes
22.94,132.15,195.82,6.52,grapes
26.9,133.1,202.57,5.93,grapes
21.15,144.64,201.41,6.02,grapes
17.69,139.44,190.46,5.59,grapes
30.91,136.71,190.09,6.45,grapes
20.58,126.23,202.55,5.81,grapes
20.73,128.92,195.11,5.87,grapes
22.74,131.43,201.81,6.3,grapes
23.27,127.35,204.69,5.91,grapes
21.45,135.0,192.37,5.88,grapes
22.93,134.14,191.53,6.01,grapes
22.84,125.47,205.0,6.4,grapes
23.7,139.18,202.11,6.82,grapes
13.57,132.61,197.48,6.29,grapes
30.52,121.63,194.4,6.4,grapes
22.41,131.69,196.94,5.9,grapes
25.32,133.69,192.86,5.65,grapes
17.49,137.84,205.0,6.33,grapes
21.12,129.98,195.34,6.09,grapes
20.31,136.97,205.0,5.29,grapes
28.88,133.12,197.6,5.84,grapes
20.66,124.11,193.74,5.96,grapes
26.03,123.51,197.44,5.74,grapes
20.4,138.74,184.25,6.74,grapes
21.19,139.18,199.28,6.24,grapes
22.02,133.94,198.98,6.69,grapes
28.14,140.97,204.95,6.13,grapes
15.44,138.34,188.68,6.04,grapes
17.74,136.1,205.0,5.53,grapes
15.21,126.53,204.92,6.01,grapes
18.65,142.39,205.0,6.01,grapes
19.75,135.22,199.68,5.32,grapes
16.54,129.68,205.0,5.73,grapes
20.06,127.99,191.17,5.84,grapes
14.94,133.54,204.28,6.21,grapes
18.93,121.97,195.37,6.23,grapes
27.8,136.2,190.09,5.71,grapes
24.61,126.28,193.26,6.23,grapes
23.75,134.22,200.03,5.91,grapes
18.99,128.87,195.05,4.57,grapes
16.86,130.41,202.26,5.76,grapes
18.44,127.46,189.15,6.54,grapes
22.83,131.03,187.24,5.16,grapes
26.47,143.34,205.0,6.06,grapes
26.61,140.31,205.0,6.79,grapes
25.52,134.13,193.7,5.62,grapes
20.05,131.85,199.98,6.0,grapes
23.1,137.07,205.0,5.35,grapes
21.71,138.78,202.52,6.81,grapes
22.2,127.02,200.89,5.96,grapes
31.15,131.54,205.0,6.02,grapes
15.95,121.07,195.62,6.68,grapes
22.06,138.74,200.19,6.33,grapes
27.85,144.39,199.89,5.56,grapes
17.14,132.48,198.36,5.68,grapes
20.43,119.25,197.66,6.25,grapes
20.88,135.65,200.44,5.69,grapes
22.11,126.58,200.21,4.94,grapes
16.62,128.02,193.71,5.97,grapes
25.38,135.76,204.81,5.26,grapes
25.67,133.53,194.14,6.81,grapes
25.03,129.07,198.69,6.09,grapes
19.52,128.1,198.23,5.55,grapes
23.35,132.76,202.15,5.65,grapes
19.4,129.54,187.29,5.06,grapes
21.67,125.34,205.0,5.45,grapes
31.61,130.0,195.94,6.51,grapes
23.38,134.04,205.0,7.12,grapes
18.25,130.93,197.13,6.36,grapes
23.72,123.52,199.71,5.95,grapes
17.59,137.93,205.0,5.78,grapes
18.2,115.57,198.34,5.52,grapes
18.84,129.32,205.0,7.03,grapes
21.22,128.28,200.23,5.91,grapes
26.75,132.89,202.49,7.06,grapes
25.31,135.37,200.42,6.7,grapes
25.09,138.76,205.0,5.13,grapes
18.6,127.73,195.89,5.67,grapes
20.83,135.52,194.1,5.67,grapes
24.09,133.17,196.17,5.96,grapes
20.49,121.73,200.6,5.97,grapes
21.89,143.4,198.68,7.5,grapes
24.77,123.37,204.26,5.46,grapes
21.6,134.52,205.0,6.11,grapes
23.9,134.34,194.14,6.31,grapes
29.37,133.65,195.6,6.0,grapes
22.31,129.03,191.38,6.06,grapes
27.72,136.96,205.0,5.48,grapes
25.24,122.64,201.83,6.05,grapes
17.13,131.61,202.88,6.26,grapes
18.59,128.62,191.96,6.16,grapes
19.67,127.94,199.99,6.29,grapes
19.58,134.57,203.06,6.71,grapes
22.64,138.46,198.48,6.47,grapes
25.46,129.94,205.0,6.04,grapes
28.02,136.68,205.0,5.41,grapes
24.23,132.3,194.32,5.7,grapes
21.22,126.64,193.87,5.89,grapes
100.51,13.93,48.44,6.3,watermelon
96.13,13.76,53.66,5.61,watermelon
93.39,20.95,43.38,6.06,watermelon
91.87,21.77,50.02,6.2,watermelon
89.09,23.05,51.18,6.53,watermelon
97.59,24.22,55.78,6.12,watermelon
90.18,17.54,42.07,6.29,watermelon
93.0,15.76,50.15,6.01,watermelon
96.64,22.4,44.57,6.57,watermelon
90.98,19.85,52.53,6.67,watermelon
101.28,13.07,53.89,6.66,watermelon
103.44,12.87,56.44,6.5,watermelon
95.7,18.97,47.32,5.88,watermelon
96.38,16.29,54.64,6.25,watermelon
102.22,16.89,56.8,6.34,watermelon
94.72,21.29,41.78,6.34,watermelon
94.3,20.04,53.06,6.53,watermelon
106.18,22.32,54.79,7.07,watermelon
104.31,9.27,48.71,6.82,watermelon
102.61,18.01,43.95,6.1,watermelon
104.55,19.78,54.71,6.77,watermelon
87.14,10.89,44.0,6.76,watermelon
107.12,14.38,49.11,6.18,watermelon
101.35,13.64,49.8,6.84,watermelon
105.06,17.09,53.58,6.44,watermelon
101.32,23.51,46.87,5.94,watermelon
99.29,25.09,46.58,6.68,watermelon
97.35,13.74,50.49,6.59,watermelon
101.2,19.11,55.03,6.41,watermelon
97.13,19.24,61.44,6.49,watermelon
104.21,18.55,42.46,6.21,watermelon
89.48,18.6,51.58,6.74,watermelon
95.75,18.21,44.57,6.48,watermelon
111.27,23.75,55.09,6.57,watermelon
95.24,21.41,45.31,6.64,watermelon
97.57,12.76,46.63,6.04,watermelon
93.7,20.18,47.05,6.14,watermelon
101.02,20.57,49.62,5.62,watermelon
94.58,18.26,51.62,6.73,watermelon
97.89,21.53,52.42,6.02,watermelon
104.09,17.75,49.97,6.55,watermelon
94.81,17.8,43.35,6.65,watermelon
103.73,17.48,53.64,6.74,watermelon
103.93,8.93,49.74,6.02,watermelon
105.33,16.68,55.81,6.47,watermelon
